memory_seed,rho,level,method,alpha,cue_count,seconds
6,0.4,low,softmax,48.0,32,0.3969387919933069
6,0.4,low,sparsemax,8.5,32,0.1497067089949268
6,0.4,middle,softmax,20.0,32,0.3875662079954054
6,0.4,middle,sparsemax,0.75,32,0.3665336670237593
6,0.4,high,softmax,5.0,32,0.3716964589839335
6,0.4,high,sparsemax,0.05,32,0.4789630830055102
7,0.1,low,softmax,48.0,32,0.7251236659940332
7,0.1,low,sparsemax,1.8,32,0.204439374996582
7,0.1,middle,softmax,5.0,32,0.5704562079918105
7,0.1,middle,sparsemax,0.4,32,0.5116970000090078
7,0.1,high,softmax,2.5,32,0.4204663329874165
7,0.1,high,sparsemax,0.05,32,0.3897898330178577
7,0.25,low,softmax,48.0,32,0.4345594999904278
7,0.25,low,sparsemax,3.75,32,0.1365792090073228
7,0.25,middle,softmax,8.5,32,0.7043898330011871
7,0.25,middle,sparsemax,0.7,32,0.6272313330264296
7,0.25,high,softmax,3.5,32,0.5134151670208666
7,0.25,high,sparsemax,0.05,32,0.4430547920055687
7,0.4,middle,softmax,19.0,32,0.4257273330003954
7,0.4,middle,sparsemax,0.75,32,0.503051207982935
7,0.4,high,softmax,5.0,32,0.4335996249865275
7,0.4,high,sparsemax,0.05,32,0.5940657500177622
