memory_seed,softmax,sparsemax,sparsemax_minus_softmax
0,0.1610822402444345,0.1645308267637015,0.0034485865192670218
1,0.16615078077235035,0.1758237046564703,0.009672923884119944
2,0.1646946043640527,0.16793311362909574,0.0032385092650430436
3,0.14891976803438017,0.14182848034202925,-0.007091287692350928
4,0.16042564763051703,0.15729052464691476,-0.003135122983602273
5,0.17683223095014047,0.15694140968507006,-0.019890821265070413
6,0.1530862719900985,0.1552815945224327,0.002195322532334204
7,0.15987205727039228,0.18438541381874024,0.024513356548347964
