rho,level,requested_log_ipr,target_ipr,method,alpha,achieved_median_ipr,relative_match_error
0.1,low,1.0000000000029354,1.0000000000029354,softmax,48.0,1.0000000000029354,0.0
0.1,low,1.0000000000029354,1.0000000000029354,sparsemax,1.8,1.0,2.935429677100297e-12
0.1,middle,8.655793365705138,8.707332297366008,softmax,5.0,8.798400064782616,0.0104587449182519
0.1,middle,8.655793365705138,8.707332297366008,sparsemax,0.4,8.590946292396017,0.0133664365841645
0.1,high,74.92275878956514,73.16456697633235,softmax,2.5,72.86327052859042,0.0041180650715721
0.1,high,74.92275878956514,73.16456697633235,sparsemax,0.05,74.92275878956514,0.0240306460612489
0.25,low,1.000003652309054,1.000003652309054,softmax,48.0,1.000003652309054,0.0
0.25,low,1.000003652309054,1.000003652309054,sparsemax,3.75,1.0,3.65229571454601e-06
0.25,middle,8.964590958908547,8.064166134493913,softmax,8.5,8.182245873946908,0.0146425231677602
0.25,middle,8.964590958908547,8.064166134493913,sparsemax,0.7,7.929906722476147,0.0166488896407379
0.25,high,80.36359754784993,78.79242488015784,softmax,3.5,79.05322836415169,0.0033100070773368
0.25,high,80.36359754784993,78.79242488015784,sparsemax,0.05,80.36359754784993,0.0199406563522042
0.4,low,2.7837387243197407,2.824340786677101,softmax,48.0,2.7837387243197407,0.0143757660367641
0.4,low,2.7837387243197407,2.824340786677101,sparsemax,8.0,2.8131868131868134,0.0039492307525008
0.4,middle,15.285581535418531,15.279073017755698,softmax,20.0,15.626244708084894,0.0227220388256375
0.4,middle,15.285581535418531,15.279073017755698,sparsemax,0.75,15.155534661876128,0.0080854614501814
0.4,high,83.93352466403776,82.44553817584185,softmax,5.0,82.50235034626816,0.0006890872651609
0.4,high,83.93352466403776,82.44553817584185,sparsemax,0.05,83.93352466403776,0.0180481141990037
