memory_seed,rho,level,method,target_ipr,alpha,training_median_ipr,training_relative_error,heldout_median_ipr,heldout_relative_error,row_training_match,both_training_matches,heldout_pair_relative_error,matched
0,0.1,low,softmax,1.0000000000029354,48.0,1.0000000000034293,4.938272013518199e-13,1.0000000000028777,5.773159728033868e-14,True,True,2.877698079824265e-12,True
0,0.1,low,sparsemax,1.0000000000029354,1.8,1.0,2.935429677100297e-12,1.0,2.935429677100297e-12,True,True,2.877698079824265e-12,True
0,0.1,middle,softmax,8.707332297366008,5.0,8.800524690207105,0.0107027490921975,8.596669965857377,0.0127090970838574,True,True,0.0016678911418959,True
0,0.1,middle,sparsemax,8.707332297366008,0.4,8.62730994914563,0.0091902256038379,8.61102024289321,0.0110610289332742,True,True,0.0016678911418959,True
0,0.1,high,softmax,73.16456697633235,2.5,72.77112997696605,0.0053774253798778,72.5646907077137,0.0081989997810375,True,True,0.0313001463403747,True
0,0.1,high,sparsemax,73.16456697633235,0.05,74.4476191447043,0.0175365237764203,74.87208706787837,0.0233380741814322,True,True,0.0313001463403747,True
0,0.25,low,softmax,1.000003652309054,48.0,1.000004811264621,1.1589513340005234e-06,1.0000023572430623,1.2950612618158925e-06,True,True,2.357240284006743e-06,True
0,0.25,low,sparsemax,1.000003652309054,3.75,1.0,3.6522957147680527e-06,1.0,3.6522957147680527e-06,True,True,2.357240284006743e-06,True
0,0.25,middle,softmax,8.064166134493913,8.5,7.541902669184305,0.0647634803895795,7.662659054680276,0.0497890387074515,False,False,0.0329428431356389,False
0,0.25,middle,sparsemax,8.064166134493913,0.7,7.743546920895161,0.0397585079785652,7.919316340269891,0.0179621540290988,True,False,0.0329428431356389,False
0,0.25,high,softmax,78.79242488015784,3.5,78.25719612822235,0.006792896052502,78.60244572912768,0.0024111347165557,True,True,0.0192243321988507,True
0,0.25,high,sparsemax,78.79242488015784,0.05,80.22656284925215,0.0182014701448218,80.12819097418749,0.0169529760768415,True,True,0.0192243321988507,True
0,0.4,low,softmax,2.824340786677101,48.0,2.786113758954405,0.0135348495843772,2.8400265376351044,0.0055537741875894,True,True,0.0240260777748191,True
0,0.4,low,sparsemax,2.824340786677101,8.0,2.8183581124757593,0.0021182550737372,2.9090909090909087,0.0300070454718454,True,True,0.0240260777748191,True
0,0.4,middle,softmax,15.279073017755698,19.0,15.61113409197931,0.0217330641615316,15.543720498037054,0.0173209120719438,True,True,0.0367630217167924,True
0,0.4,middle,sparsemax,15.279073017755698,0.7,15.584771962602286,0.0200076892420985,16.125855146630308,0.0554210407850378,True,True,0.0367630217167924,True
0,0.4,high,softmax,82.44553817584185,5.0,81.30523683304465,0.013830964877264,82.22394945038013,0.002687698211019,True,True,0.0160548873705758,True
0,0.4,high,sparsemax,82.44553817584185,0.05,83.0317073913934,0.0071097748710349,83.55472845145863,0.0134536119256214,True,True,0.0160548873705758,True
1,0.1,low,softmax,1.0000000000029354,48.0,1.0000000000042863,1.350919376359925e-12,1.000000000004747,1.8116619315780125e-12,True,True,4.7470916086809764e-12,True
1,0.1,low,sparsemax,1.0000000000029354,1.8,1.0,2.935429677100297e-12,1.0,2.935429677100297e-12,True,True,4.7470916086809764e-12,True
1,0.1,middle,softmax,8.707332297366008,5.0,8.730544080160195,0.0026657743154247,8.761500285452513,0.0062209625447383,True,True,0.018580415493106,True
1,0.1,middle,sparsemax,8.707332297366008,0.4,8.570165869171213,0.0157529796165341,8.600206423293539,0.0123029500211994,True,True,0.018580415493106,True
1,0.1,high,softmax,73.16456697633235,2.5,72.64147355643526,0.007149545763953,72.7689858425928,0.0054067310186844,True,True,0.0208419439604486,True
1,0.1,high,sparsemax,73.16456697633235,0.05,74.29559317318704,0.0154586604362814,74.30160434202172,0.0155408199990738,True,True,0.0208419439604486,True
1,0.25,low,softmax,1.000003652309054,48.0,1.0000046362964652,9.83983817294274e-07,1.00000610350134,2.451183333333727e-06,True,True,0.0019489232564648,True
1,0.25,low,sparsemax,1.000003652309054,3.75,1.0,3.6522957147680527e-06,1.001956939668048,0.0019532802250107,True,True,0.0019489232564648,True
1,0.25,middle,softmax,8.064166134493913,8.5,7.664781414666103,0.049525854647199,7.610434557307622,0.0562651574408277,True,True,0.003831794947807,True
1,0.25,middle,sparsemax,8.064166134493913,0.7,7.769625958672459,0.0365245669433295,7.63965215992598,0.0526420174743305,True,True,0.003831794947807,True
1,0.25,high,softmax,78.79242488015784,3.5,78.65170430253056,0.0017859658189389,78.16846712948723,0.0079190068286341,True,True,0.0177140160691206,True
1,0.25,high,sparsemax,78.79242488015784,0.05,80.04437755249418,0.0158892517172881,79.56551830581088,0.0098117734900139,True,True,0.0177140160691206,True
1,0.4,low,softmax,2.824340786677101,48.0,2.5943707419706685,0.0814243259139409,3.5576213523061537,0.2596289261862671,False,False,0.0731189265211048,False
1,0.4,low,sparsemax,2.824340786677101,8.0,2.8131868131868134,0.0039492307525008,3.306666666666666,0.1707746750196645,True,False,0.0731189265211048,False
1,0.4,middle,softmax,15.279073017755698,19.0,15.436507159660977,0.0103039066389908,16.768539143140234,0.0974840635720268,True,True,0.1203065539002641,False
1,0.4,middle,sparsemax,15.279073017755698,0.75,14.850959643110585,0.028019590857875,14.865639626518938,0.0270588006717627,True,True,0.1203065539002641,False
1,0.4,high,softmax,82.44553817584185,5.0,81.76854629681213,0.0082113828596255,81.69023036040889,0.0091612940147472,True,True,0.0192084842529277,True
1,0.4,high,sparsemax,82.44553817584185,0.05,83.36429367076377,0.0111437867378872,83.27459246113622,0.0100557811088108,True,True,0.0192084842529277,True
2,0.1,low,softmax,1.0000000000029354,48.0,1.0000000000034992,5.637712519029996e-13,1.0000000000033584,4.22994972380943e-13,True,True,3.3584246494854593e-12,True
2,0.1,low,sparsemax,1.0000000000029354,1.8,1.0,2.935429677100297e-12,1.0,2.935429677100297e-12,True,True,3.3584246494854593e-12,True
2,0.1,middle,softmax,8.707332297366008,5.0,8.680264032091635,0.003108674890306,8.70840504991925,0.0001232010582123,True,True,0.0207407692323462,True
2,0.1,middle,sparsemax,8.707332297366008,0.4,8.618220111126309,0.0102341547556024,8.529639893821777,0.0204072151464787,True,True,0.0207407692323462,True
2,0.1,high,softmax,73.16456697633235,2.5,72.54040508068324,0.0085309313161248,72.57608429349185,0.0080432743219934,True,True,0.0261084362103818,True
2,0.1,high,sparsemax,73.16456697633235,0.05,74.24551473183523,0.0147741974042236,74.49599529765872,0.0181977202401412,True,True,0.0261084362103818,True
2,0.25,low,softmax,1.000003652309054,48.0,1.0000033672922215,2.850157916138869e-07,1.0000070426950476,3.390373610814704e-06,True,True,0.0208793983574197,True
2,0.25,low,sparsemax,1.000003652309054,3.5,1.0,3.6522957147680527e-06,1.0211068638856573,0.021103134501434,True,True,0.0208793983574197,True
2,0.25,middle,softmax,8.064166134493913,8.5,7.759143871907492,0.0378244021141515,7.63149750723918,0.0536532382937924,True,True,0.015843007800303,True
2,0.25,middle,sparsemax,8.064166134493913,0.7,7.854560084434619,0.0259922782546256,7.753368785581065,0.0385405438986969,True,True,0.015843007800303,True
2,0.25,high,softmax,78.79242488015784,3.5,78.73162184978175,0.0007716862435516,78.49006434635305,0.0038374315077201,True,True,0.0203366338411228,True
2,0.25,high,sparsemax,78.79242488015784,0.05,80.09414095965735,0.0165208277506296,80.10268569002633,0.0166292738402376,True,True,0.0203366338411228,True
