memory_seed,rho,level,method,target_ipr,alpha,training_median_ipr,training_relative_error,heldout_median_ipr,heldout_relative_error,row_training_match,both_training_matches,heldout_pair_relative_error,matched
0,0.25,middle,softmax,8.064166134493913,8.5,7.541902669184305,0.0647634803895795,7.662659054680276,0.0497890387074515,False,False,0.0329428431356389,False
0,0.25,middle,sparsemax,8.064166134493913,0.7,7.743546920895161,0.0397585079785652,7.919316340269891,0.0179621540290988,True,False,0.0329428431356389,False
1,0.4,low,softmax,2.824340786677101,48.0,2.5943707419706685,0.0814243259139409,3.5576213523061537,0.2596289261862671,False,False,0.0731189265211048,False
1,0.4,low,sparsemax,2.824340786677101,8.0,2.8131868131868134,0.0039492307525008,3.306666666666666,0.1707746750196645,True,False,0.0731189265211048,False
1,0.4,middle,softmax,15.279073017755698,19.0,15.436507159660977,0.0103039066389908,16.768539143140234,0.0974840635720268,True,True,0.1203065539002641,False
1,0.4,middle,sparsemax,15.279073017755698,0.75,14.850959643110585,0.028019590857875,14.865639626518938,0.0270588006717627,True,True,0.1203065539002641,False
2,0.4,low,softmax,2.824340786677101,48.0,2.418219403128286,0.1437933359403933,2.659257045407013,0.0584503619566081,False,False,0.0769961138726581,False
2,0.4,low,sparsemax,2.824340786677101,7.5,2.852053541603546,0.0098121144081377,2.8722076897212783,0.0169479912870194,True,False,0.0769961138726581,False
2,0.4,middle,softmax,15.279073017755698,20.0,14.694240724896842,0.0382766868238162,13.580486183980945,0.1111708041319547,True,True,0.1108678340286229,False
2,0.4,middle,sparsemax,15.279073017755698,0.75,15.474429272683071,0.0127858708902268,15.174486980107794,0.006845051236182,True,True,0.1108678340286229,False
3,0.25,middle,softmax,8.064166134493913,8.5,7.645307268158151,0.0519407536191649,7.963925734456431,0.0124303490733791,False,False,0.0203012854971576,False
3,0.25,middle,sparsemax,8.064166134493913,0.7,7.708130112754404,0.0441503827924117,7.8038724481728705,0.0322778179392478,True,False,0.0203012854971576,False
4,0.4,middle,softmax,15.279073017755698,20.0,14.649904379402994,0.0411784561551313,12.32786621535744,0.1931535243642519,True,True,0.2182265223569982,False
4,0.4,middle,sparsemax,15.279073017755698,0.7,15.66102323928507,0.0249982588004855,15.347629845264615,0.0044869755795557,True,True,0.2182265223569982,False
5,0.25,middle,softmax,8.064166134493913,8.5,7.617716707952769,0.0553621315701182,7.798916178736349,0.0328924220227775,False,False,0.0188401752087055,False
5,0.25,middle,sparsemax,8.064166134493913,0.7,7.7547521841463025,0.0383689950315028,7.653354435860678,0.05094286151621,True,False,0.0188401752087055,False
5,0.4,low,softmax,2.824340786677101,48.0,2.5727064220514437,0.089094901653745,2.740857891572926,0.0295583647334551,False,False,0.0048359319976349,False
5,0.4,low,sparsemax,2.824340786677101,8.0,2.7780219780219784,0.0163998653680945,2.7541446208112874,0.0248539999836213,True,False,0.0048359319976349,False
5,0.4,middle,softmax,15.279073017755698,19.0,15.611165896180497,0.021735145714591,15.485006602692426,0.0134781465274375,True,True,0.052253112774527,False
5,0.4,middle,sparsemax,15.279073017755698,0.75,14.895776612212384,0.025086365193614,14.696468589239618,0.0381308753377275,True,True,0.052253112774527,False
6,0.25,middle,softmax,8.064166134493913,8.5,7.585624472849401,0.0593417414353089,7.7660765956919136,0.0369647070546999,False,False,0.0211329267536831,False
6,0.25,middle,sparsemax,8.064166134493913,0.7,7.733103130236798,0.0410535942260683,7.603672702620064,0.0571036638126935,True,False,0.0211329267536831,False
7,0.4,low,softmax,2.824340786677101,48.0,2.964434705534172,0.0496023424361246,2.7432996645731302,0.0286938185668867,True,True,0.0728649166445791,False
7,0.4,low,sparsemax,2.824340786677101,9.5,2.8390701142195773,0.0052151382056857,2.550435865504358,0.0969801245178339,True,True,0.0728649166445791,False
