cue_index,memory_seed,target,rho,mask_index,method,alpha,category,converged,convergence_step,stable,stability_radius,final_top_memory,final_max_weight,final_ipr,final_support_size,level,target_ipr
10.0,0.0,10.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,10,1.0,1.0,1,low,1.0000000000029354
12.0,0.0,12.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,12,1.0,1.0,1,low,1.0000000000029354
13.0,0.0,13.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,13,1.0,1.0,1,low,1.0000000000029354
14.0,0.0,14.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,14,1.0,1.0,1,low,1.0000000000029354
16.0,0.0,16.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,16,1.0,1.0,1,low,1.0000000000029354
17.0,0.0,17.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,17,1.0,1.0,1,low,1.0000000000029354
18.0,0.0,18.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,18,1.0,1.0,1,low,1.0000000000029354
24.0,0.0,24.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,24,1.0,1.0,1,low,1.0000000000029354
27.0,0.0,27.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,27,1.0,1.0,1,low,1.0000000000029354
28.0,0.0,28.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,28,1.0,1.0,1,low,1.0000000000029354
32.0,0.0,32.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,32,1.0,1.0,1,low,1.0000000000029354
39.0,0.0,39.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,39,1.0,1.0,1,low,1.0000000000029354
41.0,0.0,41.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,41,1.0,1.0,1,low,1.0000000000029354
49.0,0.0,49.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,49,1.0,1.0,1,low,1.0000000000029354
54.0,0.0,54.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,54,1.0,1.0,1,low,1.0000000000029354
57.0,0.0,57.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,57,1.0,1.0,1,low,1.0000000000029354
58.0,0.0,58.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,58,1.0,1.0,1,low,1.0000000000029354
59.0,0.0,59.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,59,1.0,1.0,1,low,1.0000000000029354
61.0,0.0,61.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,61,1.0,1.0,1,low,1.0000000000029354
65.0,0.0,65.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,65,1.0,1.0,1,low,1.0000000000029354
70.0,0.0,70.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,70,1.0,1.0,1,low,1.0000000000029354
76.0,0.0,76.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,76,1.0,1.0,1,low,1.0000000000029354
78.0,0.0,78.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,78,1.0,1.0,1,low,1.0000000000029354
82.0,0.0,82.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,82,1.0,1.0,1,low,1.0000000000029354
84.0,0.0,84.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,84,1.0,1.0,1,low,1.0000000000029354
88.0,0.0,88.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,88,1.0,1.0,1,low,1.0000000000029354
89.0,0.0,89.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,89,1.0,1.0,1,low,1.0000000000029354
90.0,0.0,90.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,90,1.0,1.0,1,low,1.0000000000029354
94.0,0.0,94.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,5,True,0.0,94,1.0,1.0,1,low,1.0000000000029354
98.0,0.0,98.0,0.1,0.0,sparsemax,1.8,correct_memory_like,True,4,True,0.0,98,1.0,1.0,1,low,1.0000000000029354
5.0,0.0,5.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
8.0,0.0,8.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
10.0,0.0,10.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
12.0,0.0,12.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
13.0,0.0,13.0,0.1,0.0,softmax,5.0,stable_mixture,True,13,True,0.1579734893787067,35,0.0114272038220709,99.72074913727263,100,middle,8.707332297366008
