rho,common_ipr_min,common_ipr_max,distinct_matched_pairs,three_levels_available
0.1,1.0000000000029354,74.92275878956514,30,True
0.25,1.0000036523090539,80.36359754784993,43,True
0.4,2.7837387243197407,83.93352466403776,50,True
