method,category,q10,median,q90
softmax,correct_memory_like,1.0017959925509676,1.0021459685067846,1.0023841915766756
softmax,stable_mixture,99.17403834256422,99.96079000644562,99.9976944491603
sparsemax,correct_memory_like,1.0,1.0,1.0
sparsemax,other_stored_memory_like,1.0,1.0,1.0
sparsemax,stable_mixture,2.9473684215735543,77.72997610761296,77.72997610762427
sparsemax,unconverged_or_unstable,2.97663517566223,7.056254061252367,23.95161935112145
