rho,method,alpha,median_first_ipr,p10_first_ipr,p90_first_ipr,correct_rate
0.4,softmax,48.0,2.7837387243197407,1.181933347178795,4.783689266385702,
0.4,sparsemax,0.05,83.93352466403776,82.1739241608199,85.73185093760839,
0.4,sparsemax,0.1,62.06194084292956,59.80021960283292,64.95623772738746,
0.4,sparsemax,0.15,48.86841342530842,45.922170407900175,53.02992515407458,
0.4,sparsemax,0.2,40.8792991328704,37.032542420725434,44.364063931528484,
0.4,sparsemax,0.25,34.91143642440733,31.46645340814701,38.248073565052884,0.0
0.4,sparsemax,0.3,30.897198228148724,27.382175053681284,33.72271606078315,
0.4,sparsemax,0.35,27.72087371907334,24.52329504607749,29.93092202335732,
0.4,sparsemax,0.4,25.179160422690664,22.11919438761233,26.99752800499271,
0.4,sparsemax,0.45,23.187295272966953,20.387563624801363,24.45280851018133,
0.4,sparsemax,0.5,21.390633948838072,18.76409922377608,22.389029790811637,0.0
0.4,sparsemax,0.6,18.354954528676295,16.16454682641995,19.73804842486712,
0.4,sparsemax,0.7,16.09191991579141,14.317627493288844,17.945089046675662,
0.4,sparsemax,0.75,15.155534661876127,13.54107793072309,17.203865862226554,0.0
0.4,sparsemax,0.8,14.376524688336659,12.846012732668555,16.539763113367176,
0.4,sparsemax,0.9,13.13907378141283,11.546026811299313,15.249159218306003,
0.4,sparsemax,1.0,12.123215958560646,10.53003834453044,14.015151717049749,0.0
0.4,sparsemax,1.1,11.32442333620514,9.716250942147932,12.793086281111302,
0.4,sparsemax,1.2,10.652340897615659,8.867210971014043,11.958448962626811,
0.4,sparsemax,1.3,10.066114269653578,8.136786177517005,11.274377844632037,
0.4,sparsemax,1.4,9.550656472540707,7.516542632407644,10.718808005475891,
0.4,sparsemax,1.5,9.194608700390443,6.999082199529507,10.21268644440458,0.2916666666666667
0.4,sparsemax,1.6,8.767850944112105,6.64683192775127,9.858984991950855,
0.4,sparsemax,1.7,8.281344751556595,6.3807504492994465,9.512576696155902,
0.4,sparsemax,1.8,7.95687317488081,6.167376316878281,9.129168113789694,
0.4,sparsemax,1.9,7.640503235307575,5.866933553140158,8.724554981444234,
0.4,sparsemax,2.0,7.333257939378,5.594767218160831,8.359908940294746,0.2916666666666667
0.4,sparsemax,2.25,6.609499122481541,4.967328613556102,7.779413067497173,
0.4,sparsemax,2.5,6.128939657358851,4.414384260994664,7.497356794875478,
0.4,sparsemax,2.75,5.744133099189838,3.9963697395352153,7.081204775753721,
0.4,sparsemax,3.0,5.403899058996448,3.799854102622396,6.681754884228977,0.375
0.4,sparsemax,3.25,5.036393373004501,3.577533088015166,6.32614178819128,
0.4,sparsemax,3.5,4.817126390111428,3.3505112229072016,6.041666937859503,
