cue_index,memory_seed,target,rho,mask_index,level,target_ipr,softmax_alpha,sparsemax_alpha,softmax_achieved_ipr,sparsemax_achieved_ipr,pair_relative_error,pair_status,included
7,0,17,0.1,0,high,64.0,2.7006998317159936,0.06776672008793916,64.0,64.00000000000007,1.1102230246251561e-15,matched,True
8,0,18,0.1,0,low,4.0,5.869055381862749,0.6552842772408907,4.0,4.000000000000002,4.440892098500625e-16,matched,True
8,0,18,0.1,0,middle,16.0,4.3471138534957205,0.26080178528126563,16.0,15.999999999999996,2.2204460492503136e-16,matched,True
8,0,18,0.1,0,high,64.0,2.7313139840301126,0.06400914969507479,64.0,63.99999999999994,8.881784197001256e-16,matched,True
9,0,24,0.1,0,low,4.0,5.916961719838255,0.6679483238460397,4.000000000000002,3.999999999999999,6.661338147750939e-16,matched,True
9,0,24,0.1,0,middle,16.0,4.381849434175451,0.2567570085950761,15.999999999999993,15.99999999999999,2.2204460492503146e-16,matched,True
9,0,24,0.1,0,high,64.0,2.7510134792705028,0.0642348263970183,64.00000000000001,64.00000000000003,2.220446049250312e-16,matched,True
10,0,27,0.1,0,low,4.0,5.905473974731679,0.6583261286893924,3.999999999999999,4.000000000000001,4.440892098500626e-16,matched,True
10,0,27,0.1,0,middle,16.0,4.388271427455728,0.2644904916944063,16.000000000000014,15.999999999999986,1.7763568394002505e-15,matched,True
10,0,27,0.1,0,high,64.0,2.780309190770393,0.06952178467452004,64.0,63.999999999999886,1.776356839400252e-15,matched,True
11,0,28,0.1,0,low,4.0,5.867990684973905,0.6434284972138824,4.0,4.000000000000001,2.220446049250313e-16,matched,True
11,0,28,0.1,0,middle,16.0,4.352953375525157,0.24798089673527102,16.0,16.000000000000004,2.220446049250313e-16,matched,True
11,0,28,0.1,0,high,64.0,2.7490408323687188,0.06858052659170166,64.00000000000001,63.99999999999994,1.110223024625157e-15,matched,True
12,0,32,0.1,0,low,4.0,5.930096783689864,0.6608454818407743,3.9999999999999982,4.0,4.440892098500627e-16,matched,True
12,0,32,0.1,0,middle,16.0,4.400157646759019,0.25829470811388067,15.99999999999999,15.999999999999996,4.440892098500628e-16,matched,True
12,0,32,0.1,0,high,64.0,2.7770904316305938,0.06940150028756076,64.00000000000001,63.99999999999987,2.220446049250315e-15,matched,True
13,0,39,0.1,0,low,4.0,5.80328924099632,0.6526649253911674,3.9999999999999982,4.0,4.440892098500627e-16,matched,True
13,0,39,0.1,0,middle,16.0,4.298614337357785,0.24596421414750236,16.000000000000004,15.999999999999993,6.66133814775094e-16,matched,True
13,0,39,0.1,0,high,64.0,2.7034366041257774,0.06366681207427405,64.00000000000001,63.999999999999986,4.440892098500626e-16,matched,True
