memory_seed,high,low,middle,C
0,-0.024363318097988973,0.09896236237399834,0.09355441350223859,0.0562548913642339
1,-0.021173113536110427,0.09681459778209214,0.08189013840654832,0.044069396283557466
2,-0.03399412234297475,0.09898124762551899,0.07105459915765874,0.03856103651638662
3,-0.027475002114291713,0.09412608066543966,0.045602680765035986,0.012277141489462011
4,-0.026503272461319144,0.10121501420832127,0.04050071022445198,0.0031448393509509176
5,-0.018856970097494874,0.10190200746325238,0.0806276067586631,0.03910508807578434
6,-0.02467310394388514,0.1034340503443498,0.07976860612865441,0.04038813292842208
7,-0.017338884032325336,0.09817699707988967,0.07986111843076363,0.03944206190698146
